name,backend,disk_mb,load_delta_mb,peak_rss_mb,params_M
ACT,openvino,131.18244647979736,322.0078125,1377.3046875,
ACT,torch,197.18685626983643,427.93359375,1531.8828125,
SmolVLA,openvino,956.9472990036011,3837.671875,5425.46484375,
SmolVLA,torch,1142.4599771499634,2227.7734375,3466.40234375,
Pi0.5,openvino,5974.804738044739,33369.8046875,36666.36328125,
Pi0.5,torch,8920.940816879272,11964.55859375,13279.37890625,
